indicador,region,rank_2025,score_2025,rank_2024,score_2024,rank_2019,score_2019
Acceso a agua segura,Puno,16,15.2,15,15.2,19,14.5
Consumo de energías limpias,Puno,14,88.1,15,83.1,12,84.9
Generación total de residuos sólidos municipales ajustados por PBI,Puno,13,9.3,18,11.3,14,11.4
Degradación de ecosistemas,Puno,13,12.3,13,12.3,14,12
Disposición adecuada de residuos,Puno,19,57.7,19,57.7,9,54.3
Tratamiento de aguas residuales,San Martin,16,12,16,9.7,17,2.6
Calidad del aire,San Martin,12,21.9,12,21.9,9,21.5
Acceso a agua segura,San Martin,11,20.3,11,21.8,15,23.6
Consumo de energías limpias,San Martin,7,90.7,10,86.3,15,83
Generación total de residuos sólidos municipales ajustados por PBI,San Martin,25,17,24,18.8,24,21.2
Degradación de ecosistemas,San Martin,23,52.4,23,52.4,23,45.5
Disposición adecuada de residuos,San Martin,16,62.7,16,62.7,13,48.1
Tratamiento de aguas residuales,Tacna,2,98.1,4,96.2,10,65.5
Calidad del aire,Tacna,2,14.1,2,14.1,2,12.2
Acceso a agua segura,Tacna,3,52.5,4,51.4,4,65.4
Consumo de energías limpias,Tacna,4,94.6,5,94.7,4,65.4
Generación total de residuos sólidos municipales ajustados por PBI,Tacna,6,5.9,6,6.2,6,8.7
Degradación de ecosistemas,Tacna,4,1.2,4,1.2,5,1.8
Disposición adecuada de residuos,Tacna,6,80.3,6,80.3,3,69
Tratamiento de aguas residuales,Tumbes,14,30.4,14,32.7,13,39.5
Calidad del aire,Tumbes,4,18.9,4,18.9,6,17.5
Acceso a agua segura,Tumbes,19,12.5,18,12.8,8,33.6
Consumo de energías limpias,Tumbes,5,93,4,95.1,5,90.3
Generación total de residuos sólidos municipales ajustados por PBI,Tumbes,20,12.8,21,14.4,19,14
Degradación de ecosistemas,Tumbes,12,7.5,12,6.9,9,6.2
Disposición adecuada de residuos,Tumbes,11,70.9,11,70.9,22,32.2
Tratamiento de aguas residuales,Ucayali,18,4.9,18,4.4,18,2.3
Calidad del aire,Ucayali,16,25.4,16,25.4,22,29.1
Acceso a agua segura,Ucayali,14,17.2,20,12.1,13,24.3
Consumo de energías limpias,Ucayali,18,82.3,19,79.4,17,79.1
Generación total de residuos sólidos municipales ajustados por PBI,Ucayali,24,16.7,25,19.7,25,22.7
Degradación de ecosistemas,Ucayali,18,24.7,18,23.9,17,20.1
Disposición adecuada de residuos,Ucayali,24,36.6,24,36.6,25,26.8
